Date,Open,High,Low,Close,Adj Close**,Volume
"Apr 28, 2023",33797,34105,33728,34098,"34,098.16",354310000
"Apr 27, 2023",33382,33860,33375,33826,"33,826.16",343240000
"Apr 26, 2023",33596,33646,33236,33302,"33,301.87",321170000
"Apr 25, 2023",33828,33875,33525,33531,"33,530.83",297880000
"Apr 24, 2023",33805,33891,33726,33875,"33,875.40",252020000
"Apr 21, 2023",33794,33859,33689,33809,"33,808.96",291080000
"Apr 20, 2023",33741,33875,33678,33787,"33,786.62",307910000
"Apr 19, 2023",33890,33958,33815,33897,"33,897.01",251490000
"Apr 18, 2023",33965,34019,33792,33977,"33,976.63",253570000
"Apr 17, 2023",33930,33991,33797,33987,"33,987.18",234530000
"Apr 14, 2023",33982,34083,33731,33886,"33,886.47",276720000
"Apr 13, 2023",33669,34055,33605,34030,"34,029.69",277230000
"Apr 12, 2023",33764,33895,33593,33647,"33,646.50",260300000
"Apr 11, 2023",33587,33781,33587,33685,"33,684.79",241430000
"Apr 10, 2023",33425,33590,33343,33587,"33,586.52",232920000
"Apr 06, 2023",33421,33526,33325,33485,"33,485.29",258680000
"Apr 05, 2023",33395,33544,33376,33483,"33,482.72",286660000
"Apr 04, 2023",33595,33635,33276,33402,"33,402.38",283360000
"Apr 03, 2023",33246,33633,33246,33601,"33,601.15",311890000
"Mar 31, 2023",32902,33291,32902,33274,"33,274.15",353740000
"Mar 30, 2023",32807,32906,32683,32859,"32,859.03",283380000
"Mar 29, 2023",32567,32728,32540,32718,"32,717.60",314110000
"Mar 28, 2023",32435,32551,32296,32394,"32,394.25",248560000
"Mar 27, 2023",32277,32564,32277,32432,"32,432.08",291560000
"Mar 24, 2023",32038,32257,31805,32238,"32,237.53",317070000
"Mar 23, 2023",32101,32511,31865,32105,"32,105.25",335430000
"Mar 22, 2023",32570,32762,32020,32030,"32,030.11",325990000
"Mar 21, 2023",32421,32594,32346,32561,"32,560.60",363190000
"Mar 20, 2023",31872,32280,31872,32245,"32,244.58",357210000
"Mar 17, 2023",32217,32217,31729,31862,"31,861.98",712100000
"Mar 16, 2023",31828,32282,31571,32247,"32,246.55",440940000
"Mar 15, 2023",31760,31906,31430,31875,"31,874.57",420910000
"Mar 14, 2023",32055,32307,31805,32155,"32,155.40",391760000
"Mar 13, 2023",31820,32240,31625,31819,"31,819.14",429090000
"Mar 10, 2023",32185,32422,31783,31910,"31,909.64",397790000
"Mar 09, 2023",32877,32990,32191,32255,"32,254.86",315860000
"Mar 08, 2023",32872,32903,32613,32798,"32,798.40",242750000
"Mar 07, 2023",33428,33453,32838,32856,"32,856.46",299400000
"Mar 06, 2023",33425,33572,33383,33431,"33,431.44",329190000
"Mar 03, 2023",33076,33406,33008,33391,"33,390.97",300050000
"Mar 02, 2023",32781,33083,32666,33004,"33,003.57",317450000
"Mar 01, 2023",32656,32746,32501,32662,"32,661.84",292810000
"Feb 28, 2023",32873,32873,32636,32657,"32,656.70",303760000
"Feb 27, 2023",32906,33189,32814,32889,"32,889.09",243660000
"Feb 24, 2023",32999,32999,32643,32817,"32,816.92",277120000
"Feb 23, 2023",33175,33272,32796,33154,"33,153.91",288120000
"Feb 22, 2023",33169,33246,32948,33045,"33,045.09",321910000
"Feb 21, 2023",33700,33700,33116,33130,"33,129.59",348320000
"Feb 17, 2023",33677,33847,33518,33827,"33,826.69",302900000
"Feb 16, 2023",33992,34041,33687,33697,"33,696.85",317530000
"Feb 15, 2023",34009,34130,33833,34128,"34,128.05",267530000
"Feb 14, 2023",34194,34331,33827,34089,"34,089.27",288820000
"Feb 13, 2023",33887,34250,33887,34246,"34,245.93",302600000
"Feb 10, 2023",33672,33897,33592,33869,"33,869.27",288150000
"Feb 09, 2023",34106,34253,33607,33700,"33,699.88",347520000
"Feb 08, 2023",34133,34162,33900,33949,"33,949.01",324090000
"Feb 07, 2023",33770,34240,33634,34157,"34,156.69",361620000
"Feb 06, 2023",33874,33963,33684,33891,"33,891.02",296400000
"Feb 03, 2023",33926,34180,33814,33926,"33,926.01",425150000
"Feb 02, 2023",34129,34145,33815,34054,"34,053.94",429910000
"Feb 01, 2023",34040,34335,33581,34093,"34,092.96",370120000
"Jan 31, 2023",33804,34095,33665,34086,"34,086.04",360240000
"Jan 30, 2023",33909,34055,33695,33717,"33,717.09",343920000
"Jan 27, 2023",33953,34164,33831,33978,"33,978.08",441260000
"Jan 26, 2023",33772,33954,33636,33949,"33,949.41",327000000
